Thu Aug  8 15:38:42 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/chdir-61ecd1ed-ca57-4374-8096-1a8065606b25.prof
Thu Aug  8 15:38:57 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/submit_job-ef825944-5de2-4653-b556-c13b6c195fe2.prof
Thu Aug  8 15:38:57 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/close-3b72f3d8-b99a-4729-9259-6e8bc4b33556.prof
Thu Aug  8 15:39:13 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/chdir-9c01d5c1-79b5-40ea-8cd8-c3373f1200c8.prof
Thu Aug  8 15:38:54 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/put-d01e2b63-5305-42f0-a26b-26ca1ac913eb.prof
Thu Aug  8 15:38:54 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/close-abb38b28-55c7-4d28-96fe-63f9f7e1033d.prof
Thu Aug  8 15:38:41 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/mkdir-b3699aaa-bd5b-456c-8c52-eafe3f744f7f.prof
Thu Aug  8 15:39:10 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/open-0df1bb3d-759d-4451-9392-b2b38d12e9c3.prof
Thu Aug  8 15:38:41 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/chdir-34ab9388-a507-40a9-b22f-446abf87d892.prof
Thu Aug  8 15:38:43 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/chdir-1c42154c-208e-4184-b424-ac0609f55633.prof
Thu Aug  8 15:38:42 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/mkdir-65722d38-675b-44db-8a9f-49b0cf46799c.prof
Thu Aug  8 15:38:43 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/mkdir-479b2569-5de4-4574-91bd-9dba81d0e781.prof
Thu Aug  8 15:38:57 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/open-0ad0186e-7202-4a28-bbe3-09f28f9cb750.prof
Thu Aug  8 15:38:44 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/getcwd-5a9898ab-4823-41ac-b205-b12d89425ec7.prof
Thu Aug  8 15:38:55 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/open-ad3b26ec-c131-4bdf-a1b2-a9a26c49b6bc.prof
Thu Aug  8 15:38:50 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/put-bf923c2e-9827-498d-b24f-9ccb320d6351.prof
Thu Aug  8 15:38:44 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/chdir-1ac2f357-1e35-4065-9e44-fa0b382c41eb.prof
Thu Aug  8 15:39:16 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/get-5f929ac9-2eea-479b-8da1-4563221656b3.prof
Thu Aug  8 15:39:19 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/get-a2350ea9-d181-4afa-930f-3c25667ed24f.prof
Thu Aug  8 15:39:00 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/close-094509ef-018e-470b-b3b8-aa2096f1eec1.prof
Thu Aug  8 15:38:39 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/open-9ece8070-4ce8-43f7-826e-eb3363eb461f.prof
Thu Aug  8 15:39:12 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/close-b629031c-7891-48ea-a6dc-a629f356cb83.prof
Thu Aug  8 15:39:00 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/get_jobs-a9b0651e-791a-455d-8f77-da7ef4973778.prof
Thu Aug  8 15:39:12 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/get_jobs-63ea04f7-15c9-42ba-88a8-3d5f22a16a8b.prof
Thu Aug  8 15:38:52 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/put-18beb918-8ab9-43bd-8da3-d107bb98143b.prof
Thu Aug  8 15:39:22 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/close-7a37b8f5-6ebe-4257-bd23-d735c4c2ec84.prof
Thu Aug  8 15:39:22 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/get-5aa8c7b5-aeb3-488e-a430-bd0e752cd418.prof
Thu Aug  8 15:39:12 2024    /home/khosra_a/development/repo/aiida_profiling/firecrest/fire_1/open-aecf1da8-7716-48ea-8645-f8f944514a60.prof

         392039 function calls (391391 primitive calls) in 31.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      464    0.002    0.000    0.004    0.000 parse.py:164(hostname)
     6409    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
       58    0.002    0.000   27.173    0.468 sessions.py:502(request)
      994    0.002    0.000   26.083    0.026 {method 'readline' of '_io.BufferedReader' objects}
     1419    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
       54    0.002    0.000    0.003    0.000 parse.py:452(urlsplit)
      320    0.001    0.000    0.009    0.000 pathlib.py:484(_parse_args)
     1938    0.001    0.000    0.001    0.000 structures.py:58(<genexpr>)
      116    0.001    0.000    0.011    0.000 response.py:801(_raw_read)
      174    0.001    0.000    0.002    0.000 url.py:263(_remove_path_dot_segments)
      799    0.001    0.000    0.004    0.000 <frozen _collections_abc>:778(__contains__)
      124    0.001    0.000    0.003    0.000 <frozen posixpath>:229(expanduser)
      464    0.001    0.000    0.002    0.000 parse.py:205(_hostinfo)
      304    0.001    0.000    0.002    0.000 contextlib.py:104(__init__)
     1728    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       56    0.001    0.000    0.001    0.000 decoder.py:343(raw_decode)
      232    0.001    0.000    0.005    0.000 message.py:592(get_content_type)
      138    0.001    0.000    0.003    0.000 queue.py:122(put)
       58    0.001    0.000    0.002    0.000 socket.py:303(makefile)
     1052    0.001    0.000    0.003    0.000 feedparser.py:127(__next__)
      178    0.001    0.000    0.002    0.000 cookiejar.py:1261(__init__)
     1353    0.001    0.000    0.001    0.000 pathlib.py:239(splitroot)
       58    0.001    0.000    0.039    0.001 client.py:231(parse_headers)
      294    0.001    0.000    0.011    0.000 structures.py:40(__init__)
       58    0.001    0.000    0.023    0.000 models.py:410(prepare_url)
       58    0.001    0.000    0.005    0.000 response.py:537(__init__)
     1419    0.001    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
     1944    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       59    0.001    0.000    0.014    0.000 response.py:843(read)
      196    0.001    0.000    0.004    0.000 parse.py:923(quote_from_bytes)
      131    0.001    0.000   10.627    0.081 path.py:474(iterdir)
       72    0.001    0.000    0.005    0.000 ssl.py:1262(sendall)
       58    0.001    0.000    0.019    0.000 adapters.py:294(build_response)
     1816    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      116    0.001    0.000    0.007    0.000 cookiejar.py:1599(make_cookies)
      670    0.001    0.000    0.004    0.000 utils.py:1043(_validate_header_part)
       58    0.001    0.000    0.002    0.000 response.py:297(__init__)
       58    0.001    0.000    0.001    0.000 utils.py:635(unquote_unreserved)
     1234    0.001    0.000    0.005    0.000 _policybase.py:311(header_fetch_parse)
      102    0.001    0.000    0.002    0.000 queue.py:154(get)
      913    0.001    0.000    0.001    0.000 util.py:19(to_str)
       58    0.001    0.000    0.002    0.000 feedparser.py:100(push)
  621/547    0.001    0.000    0.032    0.000 {built-in method builtins.next}
     1292    0.001    0.000    0.001    0.000 utils.py:51(_has_surrogates)
       58    0.001    0.000    0.002    0.000 feedparser.py:137(__init__)
       39    0.001    0.000    0.002    0.000 parse.py:941(<listcomp>)
     2402    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      878    0.001    0.000    0.001    0.000 message.py:507(set_raw)
      116    0.001    0.000    0.005    0.000 utils.py:836(select_proxy)
       58    0.001    0.000    0.004    0.000 models.py:659(__init__)
      116    0.001    0.000    0.012    0.000 cookies.py:124(extract_cookies_to_jar)
      723    0.001    0.000    0.016    0.000 {method 'join' of 'bytes' objects}
      720    0.001    0.000    0.001    0.000 url.py:242(<lambda>)
       54    0.001    0.000    0.008    0.000 BasicClient.py:280(_json_response)
       58    0.001    0.000    0.004    0.000 message.py:487(<listcomp>)
      417    0.001    0.000    0.002    0.000 connection.py:347(<genexpr>)
      116    0.001    0.000    0.009    0.000 cookiejar.py:1680(extract_cookies)
      116    0.001    0.000    0.003    0.000 client.py:457(read)
       58    0.001    0.000    0.143    0.002 sessions.py:751(merge_environment_settings)
      120    0.001    0.000    0.004    0.000 cookies.py:521(cookiejar_from_dict)
      292    0.001    0.000    0.001    0.000 structures.py:57(__iter__)
      116    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
      116    0.001    0.000    0.003    0.000 parse.py:509(urlunparse)
       58    0.001    0.000    0.074    0.001 utils.py:764(should_bypass_proxies)
       58    0.001    0.000    0.032    0.001 parser.py:41(parse)
       58    0.001    0.000    0.002    0.000 cookiejar.py:1356(add_cookie_header)
      182    0.001    0.000    0.001    0.000 timeout.py:113(__init__)
  304/266    0.001    0.000    0.021    0.000 contextlib.py:141(__exit__)
      138    0.001    0.000    0.004    0.000 pathlib.py:530(_make_child)
       68    0.001    0.000    0.006    0.000 models.py:106(_encode_params)
